example_id,source_lang,target_lang,source_text,target_text,domain,register,source_type,source_name,source_url,license,translator,review_status,notes
fra-eng-000001,fra,eng,Va !,,,,,,,CC-BY-4.0,,,
fra-eng-000002,fra,eng,Cours !,,,,,,,CC-BY-4.0,,,
fra-eng-000003,fra,eng,Courez !,,,,,,,CC-BY-4.0,,,
fra-eng-000004,fra,eng,Ça alors !,,,,,,,CC-BY-4.0,,,
fra-eng-000005,fra,eng,Au feu !,,,,,,,CC-BY-4.0,,,
fra-eng-000006,fra,eng,À l'aide !,,,,,,,CC-BY-4.0,,,
fra-eng-000007,fra,eng,Saute.,,,,,,,CC-BY-4.0,,,
fra-eng-000008,fra,eng,Ça suffit !,,,,,,,CC-BY-4.0,,,
fra-eng-000009,fra,eng,Stop !,,,,,,,CC-BY-4.0,,,
fra-eng-000010,fra,eng,Arrête-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000011,fra,eng,Attends !,,,,,,,CC-BY-4.0,,,
fra-eng-000012,fra,eng,Attendez !,,,,,,,CC-BY-4.0,,,
fra-eng-000013,fra,eng,Je comprends.,,,,,,,CC-BY-4.0,,,
fra-eng-000014,fra,eng,J'essaye.,,,,,,,CC-BY-4.0,,,
fra-eng-000015,fra,eng,J'ai gagné !,,,,,,,CC-BY-4.0,,,
fra-eng-000016,fra,eng,Je l'ai emporté !,,,,,,,CC-BY-4.0,,,
fra-eng-000017,fra,eng,Oh non !,,,,,,,CC-BY-4.0,,,
fra-eng-000018,fra,eng,Attaque !,,,,,,,CC-BY-4.0,,,
fra-eng-000019,fra,eng,Attaquez !,,,,,,,CC-BY-4.0,,,
fra-eng-000020,fra,eng,Santé !,,,,,,,CC-BY-4.0,,,
fra-eng-000021,fra,eng,À votre santé !,,,,,,,CC-BY-4.0,,,
fra-eng-000022,fra,eng,Merci !,,,,,,,CC-BY-4.0,,,
fra-eng-000023,fra,eng,Tchin-tchin !,,,,,,,CC-BY-4.0,,,
fra-eng-000024,fra,eng,Lève-toi.,,,,,,,CC-BY-4.0,,,
fra-eng-000025,fra,eng,J'ai pigé !,,,,,,,CC-BY-4.0,,,
fra-eng-000026,fra,eng,Compris !,,,,,,,CC-BY-4.0,,,
fra-eng-000027,fra,eng,Pigé ?,,,,,,,CC-BY-4.0,,,
fra-eng-000028,fra,eng,Compris ?,,,,,,,CC-BY-4.0,,,
fra-eng-000029,fra,eng,T'as capté ?,,,,,,,CC-BY-4.0,,,
fra-eng-000030,fra,eng,Monte.,,,,,,,CC-BY-4.0,,,
fra-eng-000031,fra,eng,Montez.,,,,,,,CC-BY-4.0,,,
fra-eng-000032,fra,eng,Serre-moi dans tes bras !,,,,,,,CC-BY-4.0,,,
fra-eng-000033,fra,eng,Serrez-moi dans vos bras !,,,,,,,CC-BY-4.0,,,
fra-eng-000034,fra,eng,Je suis tombée.,,,,,,,CC-BY-4.0,,,
fra-eng-000035,fra,eng,Je suis tombé.,,,,,,,CC-BY-4.0,,,
fra-eng-000036,fra,eng,Je sais.,,,,,,,CC-BY-4.0,,,
fra-eng-000037,fra,eng,Je suis parti.,,,,,,,CC-BY-4.0,,,
fra-eng-000038,fra,eng,Je suis partie.,,,,,,,CC-BY-4.0,,,
fra-eng-000039,fra,eng,J'ai perdu.,,,,,,,CC-BY-4.0,,,
fra-eng-000040,fra,eng,J'ai 19 ans.,,,,,,,CC-BY-4.0,,,
fra-eng-000041,fra,eng,Je vais bien.,,,,,,,CC-BY-4.0,,,
fra-eng-000042,fra,eng,Ça va.,,,,,,,CC-BY-4.0,,,
fra-eng-000043,fra,eng,Écoutez !,,,,,,,CC-BY-4.0,,,
fra-eng-000044,fra,eng,C'est pas possible !,,,,,,,CC-BY-4.0,,,
fra-eng-000045,fra,eng,Impossible !,,,,,,,CC-BY-4.0,,,
fra-eng-000046,fra,eng,En aucun cas.,,,,,,,CC-BY-4.0,,,
fra-eng-000047,fra,eng,C'est hors de question !,,,,,,,CC-BY-4.0,,,
fra-eng-000048,fra,eng,Il n'en est pas question !,,,,,,,CC-BY-4.0,,,
fra-eng-000049,fra,eng,C'est exclu !,,,,,,,CC-BY-4.0,,,
fra-eng-000050,fra,eng,En aucune manière !,,,,,,,CC-BY-4.0,,,
fra-eng-000051,fra,eng,Hors de question !,,,,,,,CC-BY-4.0,,,
fra-eng-000052,fra,eng,Vraiment ?,,,,,,,CC-BY-4.0,,,
fra-eng-000053,fra,eng,Vrai ?,,,,,,,CC-BY-4.0,,,
fra-eng-000054,fra,eng,Ah bon ?,,,,,,,CC-BY-4.0,,,
fra-eng-000055,fra,eng,On essaye.,,,,,,,CC-BY-4.0,,,
fra-eng-000056,fra,eng,Nous avons gagné.,,,,,,,CC-BY-4.0,,,
fra-eng-000057,fra,eng,Nous gagnâmes.,,,,,,,CC-BY-4.0,,,
fra-eng-000058,fra,eng,Nous l'avons emporté.,,,,,,,CC-BY-4.0,,,
fra-eng-000059,fra,eng,Nous l'emportâmes.,,,,,,,CC-BY-4.0,,,
fra-eng-000060,fra,eng,Demande à Tom.,,,,,,,CC-BY-4.0,,,
fra-eng-000061,fra,eng,Fantastique !,,,,,,,CC-BY-4.0,,,
fra-eng-000062,fra,eng,Sois calme !,,,,,,,CC-BY-4.0,,,
fra-eng-000063,fra,eng,Soyez calme !,,,,,,,CC-BY-4.0,,,
fra-eng-000064,fra,eng,Soyez calmes !,,,,,,,CC-BY-4.0,,,
fra-eng-000065,fra,eng,Sois détendu !,,,,,,,CC-BY-4.0,,,
fra-eng-000066,fra,eng,Sois juste !,,,,,,,CC-BY-4.0,,,
fra-eng-000067,fra,eng,Soyez juste !,,,,,,,CC-BY-4.0,,,
fra-eng-000068,fra,eng,Soyez justes !,,,,,,,CC-BY-4.0,,,
fra-eng-000069,fra,eng,Sois équitable !,,,,,,,CC-BY-4.0,,,
fra-eng-000070,fra,eng,Soyez équitable !,,,,,,,CC-BY-4.0,,,
fra-eng-000071,fra,eng,Soyez équitables !,,,,,,,CC-BY-4.0,,,
fra-eng-000072,fra,eng,Sois gentil.,,,,,,,CC-BY-4.0,,,
fra-eng-000073,fra,eng,Sois gentil !,,,,,,,CC-BY-4.0,,,
fra-eng-000074,fra,eng,Sois gentille !,,,,,,,CC-BY-4.0,,,
fra-eng-000075,fra,eng,Soyez gentil !,,,,,,,CC-BY-4.0,,,
fra-eng-000076,fra,eng,Soyez gentille !,,,,,,,CC-BY-4.0,,,
fra-eng-000077,fra,eng,Soyez gentils !,,,,,,,CC-BY-4.0,,,
fra-eng-000078,fra,eng,Soyez gentilles !,,,,,,,CC-BY-4.0,,,
fra-eng-000079,fra,eng,Dégage !,,,,,,,CC-BY-4.0,,,
fra-eng-000080,fra,eng,Appelle-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000081,fra,eng,Appellez-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000082,fra,eng,Appelle-nous !,,,,,,,CC-BY-4.0,,,
fra-eng-000083,fra,eng,Appelez-nous !,,,,,,,CC-BY-4.0,,,
